UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,Torque_ToolWear,Speed_ToolWear,Type_encoded
1,M14860,-1.0858238333168893,-0.9059233209623782,0.056854787525509994,0.28648520242426473,-1.7016788913174623,0,0,0,0,0,0,0.6328274973835801,0.9851826753588141,-1.531152278459849,-1.6560921796275558,1.3318889527502387
2,L47181,-1.0389194171364007,-0.8423274402349586,-0.7236334638395172,0.6353191301313617,-1.6546678477578478,0,0,0,0,0,0,0.5164419321311129,0.9851826753588141,-1.482094959909355,-1.6142622189982463,-0.3380416704365194
3,L47182,-1.0858238333168893,-0.9695192016898337,-0.23241708186152807,0.9442863232433619,-1.623327152051438,0,0,0,0,0,0,1.3764301393824074,0.874546596114862,-1.443915722074161,-1.5819192617503,-0.3380416704365194
4,L47183,-1.0389194171364007,-0.9059233209623782,-0.5871844688456314,-0.04241535798528352,-1.5919864563450283,0,0,0,0,0,0,-0.32169225963877546,0.8745465961149249,-1.4334967811293116,-1.556755926059231,-0.3380416704365194
5,L47184,-1.0389194171364007,-0.8423274402349586,-0.7236334638395172,0.007418060258587462,-1.5606457606386188,0,0,0,0,0,0,-0.34936360125993837,0.9851826753588141,-1.4040058804888056,-1.5306022977396272,-0.3380416704365194
6,M14865,-1.0858238333168893,-0.9059233209623782,-0.6308481472436748,0.19678504958529708,-1.529305064932209,0,0,0,0,0,0,-0.01872279088360942,0.9851826753588141,-1.3683695706130325,-1.5008638101047274,1.3318889527502387
7,L47186,-1.0858238333168893,-0.9059233209623782,0.09506050612379804,0.24661846782916805,-1.4822940213725946,0,0,0,0,0,0,0.6012421494167087,0.9851826753588141,-1.3215019955831508,-1.4400895514915473,-0.3380416704365194
8,L47187,-1.0858238333168893,-0.9059233209623782,-0.07413624766862045,0.027351427556136138,-1.450953325666185,0,0,0,0,0,0,0.14505055693349547,0.9851826753588141,-1.3039840474182516,-1.4141438846239358,-0.3380416704365194
9,M14868,-0.9920150009558852,-0.8423274402349586,0.6899781242971404,-1.1287838757016708,-1.4196126299597753,0,0,0,0,0,0,-1.1930515825827164,0.874546596114862,-1.349332929361257,-1.3589449735094066,1.3318889527502387
10,M14869,-0.8982061685948812,-0.6515397980526278,1.0938671494790426,-1.1885839775943163,-1.3726015864001608,0,0,0,0,0,0,-1.0884373182103628,0.9851826753588141,-1.3234798284404783,-1.2940312917089511,1.3318889527502387
11,H29424,-0.9451105847753966,-0.7151356787800836,1.3176435012690155,-1.5972180071940585,-1.3255905428405463,0,0,0,0,0,0,-1.689515469785126,0.9851826753588141,-1.3285656843593199,-1.2325638282557967,-2.0079722936232773
12,H29425,-0.8513017524143659,-0.5879439173251723,-0.6417640668431857,0.43598545715587766,-1.2472388035745223,0,0,0,0,0,0,0.3064423148544571,0.9851826753588141,-1.0774162299226286,-1.2474281206101039,-2.0079722936232773
13,M14872,-0.8513017524143659,-0.5879439173251723,-1.1002326900226422,1.1137199452725235,-1.168887064308498,0,0,0,0,0,0,0.8319537902983419,0.9851826753588141,-0.9175296344740416,-1.2052515575608072,1.3318889527502387
14,M14873,-0.8513017524143659,-0.5243480365977528,1.0993251092787981,-0.9892503046188322,-1.1218760207488836,0,0,0,0,0,0,-0.7456445429951105,1.0958187546027032,-1.1391175513824654,-1.017808968831742,1.3318889527502387
15,L47194,-0.8513017524143659,-0.5243480365977528,2.6985073306071405,-2.0257854040913488,-1.074864977189269,0,0,0,0,0,0,-1.9534229599978246,1.0958187546027032,-1.2542556784340213,-0.8499939800002364,-0.3380416704365194
16,L47195,-0.8513017524143659,-0.5243480365977528,0.007733149327711078,0.8446194867556199,-1.0435242814828596,0,0,0,0,0,0,1.438078179480914,1.0958187546027032,-0.8131989512500243,-1.014739061683284,-0.3380416704365194
17,M14876,-0.8513017524143659,-0.5243480365977528,-1.2530555644157944,0.6652191810776846,-1.0121835857764498,0,0,0,0,0,0,0.11647147817978622,1.0958187546027032,-0.8069829051269956,-1.0848517797835473,1.3318889527502387
18,M14877,-0.8043973362338772,-0.5243480365977528,-0.7127175442400063,0.5655523445899426,-0.9651725422168353,0,0,0,0,0,0,0.42914299757743424,0.9851826753588141,-0.774207389205571,-0.9998252546975502,1.3318889527502387
19,H29432,-0.7574929200533619,-0.5243480365977528,-1.2803453634145716,1.4525871893308462,-0.9181614986572209,0,0,0,0,0,0,1.1007708695182519,0.874546596114862,-0.5687246827068128,-1.0094310931943378,-2.0079722936232773
20,M14879,-0.7105885038728732,-0.4607521558702971,0.49894953130570024,-0.7400832133994774,-0.8398097593911967,0,0,0,0,0,0,-0.6695117512331809,0.8745465961149249,-0.899835094089738,-0.7672055162547279,1.3318889527502387
21,H29434,-0.7105885038728732,-0.4607521558702971,-0.9037461372314466,0.27651851877549105,-0.7927987158315822,0,0,0,0,0,0,-0.11584090345171123,0.8745465961149249,-0.6564556973068325,-0.8663338083710604,-2.0079722936232773
22,L47201,-0.7574929200533619,-0.4607521558702971,-0.494399152249789,0.48581887539974866,-0.7144469765655581,0,0,0,0,0,0,0.4939534767183582,0.9851826753588141,-0.5343245183668696,-0.7514598634610248,-0.3380416704365194
23,M14882,-0.7105885038728732,-0.4607521558702971,0.22059358151817304,-0.919483519077413,-0.6831062808591485,0,0,0,0,0,0,-1.1090614962863832,0.8745465961149249,-0.8263727308175797,-0.6384179599137785,1.3318889527502387
24,L47203,-0.6636840876923579,-0.39715627514287766,1.186652466074885,-1.4178177015161229,-0.636095237299534,0,0,0,0,0,0,-1.4366374737635779,0.874546596114862,-0.9139271531981954,-0.47225675977192594,-0.3380416704365194
25,M14884,-0.6636840876923579,-0.39715627514287766,0.11143438552306434,-0.26168239825831613,-0.6047545415931244,0,0,0,0,0,0,-0.16339461645993303,0.874546596114862,-0.6089877087309765,-0.5739994244275903,1.3318889527502387
26,L47205,-0.6636840876923579,-0.333560394415422,1.7488223254496948,-1.6570181090867036,-0.5577434980335099,0,0,0,0,0,0,-1.6142123302411142,0.9851826753588141,-0.9304208664905501,-0.31074993498418696,-0.3380416704365194
27,L47206,-0.6167796715118425,-0.333560394415422,-0.15600564466495198,-0.09224877622915452,-0.5264028023271002,0,0,0,0,0,0,-0.09090253384251577,0.874546596114862,-0.49808779494512206,-0.5331003388691035,-0.3380416704365194
28,H29441,-0.6167796715118425,-0.39715627514287766,1.4759243354619231,-1.5274512216526388,-0.49506210662069056,0,0,0,0,0,0,-1.498129344032828,0.7639105168709099,-0.8621503144688761,-0.27515881791464664,-2.0079722936232773
29,L47208,-0.6167796715118425,-0.39715627514287766,-0.5544367100470987,0.42601877350710404,-0.41671036735466643,0,0,0,0,0,0,0.3615800251958862,0.7639105168709099,-0.2510705984424895,-0.4875666838090738,-0.3380416704365194
30,L47209,-0.6636840876923579,-0.39715627514287766,0.8318850790907818,-0.9792836209700579,-0.38536967164825675,0,0,0,0,0,0,-0.872600853565292,0.874546596114862,-0.6381607433765547,-0.24777722673565966,-0.3380416704365194
31,M14890,-0.6167796715118425,-0.333560394415422,-1.1002326900226422,0.8246861194580719,-0.3540289759418471,0,0,0,0,0,0,0.45293937531020173,0.874546596114862,-0.06713214271104698,-0.5157306061646032,1.3318889527502387
